,0,1,2,3,4,5,6,7
63,0,0682 Nässjö,29516,30820,31538,1.0441794281067895,1.0232965606748865,0682
64,4,0683 Värnamo,33155,33906,34560,1.0226511838335093,1.0192886214829233,0683
65,0,0684 Sävsjö,10969,11396,11677,1.0389278876834716,1.0246577746577747,0684
66,5,0685 Vetlanda,26419,27241,27466,1.0311139710057156,1.0082596086780955,0685
67,0,0686 Eksjö,16464,17129,17753,1.040391156462585,1.0364294471364353,0686
68,5,0687 Tranås,18197,18794,19003,1.0328076056492828,1.011120570394807,0687
69,4,0760 Uppvidinge,9288,9508,9588,1.0236864771748493,1.008413967185528,0760
70,9,0761 Lessebo,8059,8760,8733,1.0869834967117509,0.9969178082191781,0761
71,4,0763 Tingsryd,12156,12393,12393,1.0194965449160909,1.0,0763
72,4,0764 Alvesta,19280,19850,20134,1.029564315352697,1.0143073047858941,0764
73,8,0765 Älmhult,15759,16618,17651,1.0545085348055079,1.0621615116139127,0765
74,0,0767 Markaryd,9515,9991,10320,1.050026274303731,1.0329296366730056,0767
75,7,0780 Växjö,85822,89500,94129,1.0428561441122324,1.0517206703910615,0780
76,4,0781 Ljungby,27277,28008,28521,1.0267991348022143,1.0183161953727506,0781
77,9,0821 Högsby,5718,6080,5921,1.0633088492479887,0.9738486842105263,0821
78,4,0834 Torsås,6879,7063,7125,1.026748073847943,1.0087781396007363,0834
79,0,0840 Mörbylånga,14368,14916,15249,1.038140311804009,1.0223250201126308,0840
80,9,0860 Hultsfred,13635,14607,14224,1.0712871287128714,0.9737796946669405,0860
81,5,0861 Mönsterås,12949,13395,13430,1.0344428141169202,1.0026129152668906,0861
82,5,0862 Emmaboda,8964,9348,9445,1.0428380187416333,1.0103765511339324,0862
83,0,0880 Kalmar,63887,66571,69467,1.0420116768669683,1.043502425981283,0880
84,5,0881 Nybro,19489,20311,20318,1.0421776386679666,1.0003446408350156,0881
85,5,0882 Oskarshamn,26212,27006,27102,1.0302914695559287,1.0035547656076427,0882
86,4,0883 Västervik,35867,36438,36679,1.015919926394736,1.0066139744223064,0883
87,4,0884 Vimmerby,15287,15636,15647,1.0228298554327206,1.0007035047326682,0884
88,5,0885 Borgholm,10619,10930,10839,1.0292871268481025,0.9916742909423605,0885
89,4,0980 Gotland,57161,58003,59686,1.0147303231224087,1.0290157405651432,0980
90,5,1060 Olofström,12902,13417,13426,1.0399162920477445,1.0006707907878065,1060
91,5,1080 Karlskrona,63912,66262,66622,1.0367693077982225,1.0054329781775377,1080
92,0,1081 Ronneby,27871,29207,29633,1.047935129704711,1.0145855445612353,1081
93,4,1082 Karlshamn,31272,32130,32473,1.02743668457406,1.0106753812636167,1082
94,5,1083 Sölvesborg,16800,17437,17452,1.0379166666666666,1.0008602397201354,1083
95,0,1214 Svalöv,13332,13919,14268,1.0440294029402941,1.025073640347726,1214
96,8,1230 Staffanstorp,22672,23600,25396,1.0409315455187014,1.0761016949152542,1230
97,8,1231 Burlöv,17114,17646,19112,1.031085660862452,1.0830783180324153,1231
98,0,1233 Vellinge,33807,35257,36628,1.0428905256307865,1.0388858949995745,1233
99,8,1256 Östra Göinge,13687,14406,15007,1.0525315993278292,1.0417187283076497,1256
100,0,1257 Örkelljunga,9653,9958,10280,1.0315963949031388,1.0323358104036955,1257
101,0,1260 Bjuv,14801,15202,15715,1.0270927640024323,1.0337455597947638,1260
102,0,1261 Kävlinge,29600,30532,31705,1.0314864864864866,1.0384187082405345,1261
103,8,1262 Lomma,22496,23887,24834,1.061833214793741,1.0396449951856659,1262
104,8,1263 Svedala,20067,20771,22229,1.0350824737130613,1.070194020509364,1263
105,0,1264 Skurup,15025,15408,15889,1.0254908485856906,1.031217549325026,1264
106,4,1265 Sjöbo,18401,18742,19226,1.0185316015433943,1.025824351723402,1265
107,4,1266 Hörby,14917,15283,15631,1.0245357645639204,1.0227703984819734,1266
108,0,1267 Höör,15637,16192,16713,1.0354927415744708,1.0321763833992095,1267
109,0,1270 Tomelilla,12891,13330,13617,1.0340547668916298,1.021530382595649,1270
110,4,1272 Bromölla,12336,12625,12870,1.0234273670557716,1.0194059405940594,1272
111,5,1273 Osby,12713,13149,13208,1.0342956029261385,1.0044870332344664,1273
112,0,1275 Perstorp,7139,7338,7492,1.0278750525283653,1.0209866448623603,1275
113,0,1276 Klippan,16715,17219,17756,1.0301525575830093,1.0311864800511064,1276
114,0,1277 Åstorp,14927,15528,15940,1.0402626113753601,1.0265327150953116,1277
115,0,1278 Båstad,14275,14614,15128,1.0237478108581437,1.0351717531134528,1278
116,6,1280 Malmö,312994,328494,344166,1.0495217160712347,1.047708633947652,1280
117,7,1281 Lund,114291,118542,124935,1.037194529752999,1.0539302525687098,1281
118,0,1282 Landskrona,43073,44611,46090,1.035706823299979,1.0331532581650265,1282
119,7,1283 Helsingborg,132989,140547,147734,1.0568317680409658,1.0511359189452638,1283
120,0,1284 Höganäs,25084,25847,26942,1.030417796204752,1.0423646844894958,1284
121,0,1285 Eslöv,31920,32878,33793,1.0300125313283208,1.0278301599854005,1285
122,0,1286 Ystad,28623,29448,30541,1.0288229745309716,1.0371162727519696,1286
123,0,1287 Trelleborg,42837,43913,45440,1.0251184723486706,1.0347733017557443,1287
124,0,1290 Kristianstad,81009,83191,85747,1.0269352787961832,1.0307244774074118,1290
125,5,1291 Simrishamn,18951,19485,19174,1.0281779325629254,0.98403900436233,1291
126,0,1292 Ängelholm,39866,41336,42476,1.036873526313149,1.0275788658796208,1292
127,4,1293 Hässleholm,50227,51667,52145,1.028669838931252,1.0092515532157857,1293
128,9,1315 Hylte,10001,10954,10815,1.0952904709529048,0.9873105714807376,1315
129,7,1380 Halmstad,94084,98538,102767,1.0473406742910591,1.0429174531652763,1380
130,8,1381 Laholm,23517,24664,25903,1.0487732278777055,1.0502351605578981,1381
131,0,1382 Falkenberg,41912,43867,45367,1.046645352166444,1.0341942690405088,1382
132,0,1383 Varberg,59936,61868,64601,1.0322343833422316,1.044174694510894,1383
133,7,1384 Kungsbacka,77390,80442,84395,1.0394366197183098,1.0491409959971159,1384
134,0,1401 Härryda,35732,37108,37977,1.0385088995858054,1.0234181308612698,1401
135,0,1402 Partille,36147,37316,39289,1.032340166542175,1.05287276235395,1402
136,4,1407 Öckerö,12574,12773,12916,1.0158263082551295,1.0111954904877476,1407
137,0,1415 Stenungsund,24932,25815,26777,1.0354163324241938,1.0372651559171024,1415
138,0,1419 Tjörn,15050,15584,16016,1.0354817275747508,1.0277207392197125,1419
139,4,1421 Orust,15036,15093,15218,1.0037909018355946,1.008281985026171,1421
140,4,1427 Sotenäs,8928,9065,9061,1.0153449820788532,0.9995587424158853,1427
141,4,1430 Munkedal,10205,10361,10513,1.0152866242038217,1.0146703986101728,1430
142,4,1435 Tanum,12303,12606,12841,1.024628139478176,1.0186419165476757,1435
143,4,1438 Dals-Ed,4740,4777,4813,1.0078059071729957,1.007536110529621,1438
144,4,1439 Färgelanda,6520,6627,6637,1.0164110429447852,1.0015089784216085,1439
145,8,1440 Ale,28074,29549,31402,1.0525397164636319,1.062709397949169,1440
146,0,1441 Lerum,39319,40692,42568,1.0349195045652229,1.0461024279956748,1441
147,0,1442 Vårgårda,11065,11295,11810,1.0207862629914144,1.0455953961930058,1442
148,8,1443 Bollebygd,8562,9102,9495,1.0630693763139454,1.0431773236651285,1443
149,4,1444 Grästorp,5641,5721,5693,1.0141818826449212,0.9951057507428771,1444
150,4,1445 Essunga,5494,5620,5654,1.0229341099381144,1.006049822064057,1445
151,4,1446 Karlsborg,6757,6913,6940,1.023087168861921,1.0039056849414147,1446
