Region;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
1277 Åstorp;14927;15061;15193;15528;15828;15987;15940;16063;16308;16341;16458
1278 Båstad;14275;14419;14373;14614;14796;14948;15128;15413;15636;15824;15912
1280 Malmö;312994;318107;322574;328494;333633;339313;344166;347949;351749;357377;362133
1281 Lund;114291;115968;116834;118542;121274;122948;124935;125941;127376;128384;130288
1282 Landskrona;43073;43574;43961;44611;45286;45775;46090;46305;46488;47004;47134
1283 Helsingborg;132989;135344;137909;140547;143304;145415;147734;149280;150109;150975;151306
1284 Höganäs;25084;25298;25610;25847;26193;26566;26942;27168;27589;28103;28193
1285 Eslöv;31920;32179;32438;32878;33236;33557;33793;34123;34593;34701;34775
1286 Ystad;28623;28771;28985;29448;29848;30226;30541;30970;31560;31714;31911
1287 Trelleborg;42837;42973;43359;43913;44595;44902;45440;45877;46231;46649;46936
1290 Kristianstad;81009;81826;82510;83191;84151;84908;85747;86217;86641;86738;86560
1291 Simrishamn;18951;18905;19065;19485;19376;19278;19174;19227;19267;19074;18962
1292 Ängelholm;39866;40229;40732;41336;41786;42131;42476;42910;43633;44268;44866
1293 Hässleholm;50227;50565;51048;51667;52003;52121;52145;52010;52309;52369;52241
1315 Hylte;10001;10278;10514;10954;10990;10914;10815;10649;10619;10464;10299
1380 Halmstad;94084;95532;96952;98538;99752;101268;102767;103754;104573;105148;105796
1381 Laholm;23517;23781;24195;24664;25147;25491;25903;25967;26319;26575;26565
1382 Falkenberg;41912;42433;42949;43867;44195;44701;45367;46051;46773;47017;47108
1383 Varberg;59936;60422;61030;61868;62755;63630;64601;65397;66658;67800;68325
1384 Kungsbacka;77390;78219;79144;80442;81986;83348;84395;84930;85301;85801;85653
1401 Härryda;35732;36291;36651;37108;37412;37802;37977;38246;39006;39762;39875
1402 Partille;36147;36528;36977;37316;37880;38443;39289;39512;39529;39852;40730
1407 Öckerö;12574;12645;12682;12773;12923;12945;12916;12934;12902;12800;12819
1415 Stenungsund;24932;25275;25508;25815;26224;26503;26777;27044;27556;27870;27862
1419 Tjörn;15050;15135;15315;15584;15790;15922;16016;16147;16312;16275;16146
1421 Orust;15036;15054;15010;15093;15108;15110;15218;15315;15345;15415;15333
1427 Sotenäs;8928;8931;9006;9065;9073;9030;9061;9100;9125;9160;9052
1430 Munkedal;10205;10243;10205;10361;10423;10503;10513;10582;10588;10578;10502
1435 Tanum;12303;12346;12455;12606;12763;12873;12841;12912;12965;13013;12865
1438 Dals-Ed;4740;4764;4799;4777;4763;4806;4813;4761;4756;4650;4606
1439 Färgelanda;6520;6502;6495;6627;6592;6602;6637;6658;6576;6512;6434
1440 Ale;28074;28423;28862;29549;30223;30926;31402;31868;32148;32394;32446
1441 Lerum;39319;39771;40181;40692;41510;42137;42568;43020;43399;43536;43706
1442 Vårgårda;11065;11089;11165;11295;11490;11658;11810;11946;12180;12268;12384
1443 Bollebygd;8562;8652;8799;9102;9262;9427;9495;9544;9634;9703;9733
1444 Grästorp;5641;5630;5644;5721;5750;5731;5693;5685;5730;5646;5563
1445 Essunga;5494;5538;5590;5620;5647;5671;5654;5687;5698;5717;5656
1446 Karlsborg;6757;6786;6764;6913;6954;6941;6940;6962;6965;7057;7061
1447 Gullspång;5185;5240;5229;5307;5280;5293;5280;5169;5206;5194;5119
1452 Tranemo;11531;11640;11619;11776;11841;11874;11936;11885;11937;11940;11883
1460 Bengtsfors;9550;9556;9626;9940;9905;9846;9750;9591;9409;9255;9138
1461 Mellerud;8892;8936;9169;9323;9377;9354;9310;9312;9268;9263;9165
1462 Lilla Edet;12829;13031;13178;13728;13961;14046;14109;14282;14509;14428;14426
1463 Mark;33753;33887;33906;34218;34484;34781;34754;34896;35201;35329;35287
1465 Svenljunga;10299;10365;10506;10679;10659;10683;10780;10751;10864;10816;10759
1466 Herrljunga;9274;9376;9349;9486;9485;9494;9464;9444;9501;9517;9441
1470 Vara;15609;15597;15662;15788;15942;15952;16024;16096;16162;16163;16066
1471 Götene;13028;13080;13160;13275;13242;13232;13207;13194;13263;13275;13218
1472 Tibro;10754;10864;10980;11070;11110;11168;11240;11297;11281;11399;11332
